rận 106
rán 125
ran 53
rân 106
răn 113
rặn 114
rằn 53
rào 130
rảo 48
rão 50
ráo 133
rạo 54
rao 143
rấm 55
rạm 48
rắm 52
rậm 55
rẫm 43
rẩm 38
rám 49
răm 101
rặm 52
rầm 132
râm 122
rằm 111
rài 6
rải 125
rãi 42
rái 53
rai 44
rất 155
rạt 24
rắt 29
rật 7
rát 123
rặt 103
rầu 134
rảu 29
ráu 20
rau 150
râu 133
không 158
khỏng 37
khống 126
khòng 40
khổng 140
rấp 49
rạp 141
rắp 54
ráp 136
rap 132
rập 99
rày 106
rầy 55
rảy 53
rạy 17
rẫy 54
rẩy 48
ráy 49
ray 117
rây 48
giễu 97
giết 152
hươu 99
húc 123
hức 115
hục 54
hực 51
têu 41
tếu 122
hươm 42
hướm 1
hườm 48
giếc 52
quát 123
quặt 54
quất 144
quạt 146
quắt 100
quật 114
gieo 130
gien 103
giền 42
gièm 55
giếm 44
hủn 34
hun 120
hùn 103
hước 1
khớp 132
khọt 49
xớt 51
xốt 54
xót 145
húi 49
hụi 102
hủi 105
hùi 127
khỏi 155
khôi 129
khới 51
khởi 149
khơi 142
khói 142
khối 150
khọm 45
khom 53
khòm 49
khởm 45
khóm 48
khôn 150
khốn 141
khỏa 100
khoa 150
khóa 154
khóc 153
khốc 124
khỏe 150
khoe 154
khóe 97
quằm 51
quặm 52
quăm 51
quắm 51
đòi 155
dời 127
dõi 129
dội 124
đồi 128
đôi 155
đối 154
dổi 2
đỗi 51
dói 42
đổi 155
dối 122
đới 111
dơi 50
dồi 130
đội 153
đời 155
doi 139
đói 148
dôi 55
đỏi 52
đọi 48
dòi 97
dọi 49
đợi 154
dỗi 121
đòn 140
dờn 1
đôn 55
đốn 124
đồn 147
đớn 55
dơn 52
dồn 142
độn 128
đởn 103
đờn 123
đọn 52
dợn 50
đơn 155
don 124
đon 54
đón 149
dọn 146
xộp 17
xốp 110
xọp 53
xóp 49
đôm 50
đốm 108
đồm 105
dóm 52
đom 53
dợm 51
đơm 54
dom 49
đóm 50
đỏm 54
dòm 134
đờm 115
dỏm 132
dộc 41
đốc 99
dốc 136
độc 154
đọc 155
dóc 104
dọc 140
doa 52
đóa 135
đọa 48
dọa 139
khểnh 52
khệnh 50
khễnh 15
khênh 51
tếch 50
quái 147
quai 55
quải 51
quại 53
quài 117
dộp 51
dớp 51
đốp 53
đớp 104
độp 53
đớt 49
dột 123
đốt 145
dốt 148
đột 149
đọt 51
đót 48
đợt 152
radio 50
sủi 51
sùi 54
sui 53
menu 34
siêu 153
siết 114
xòe 124
xoe 47
xọe 42
mênh 104
